"DESCRIPTION","DURATION IN MS","NAME","PARENT SUITE","START TIME","STATUS","STOP TIME","SUB SUITE","SUITE","TEST CLASS","TEST METHOD"
"","180003","Register new user","chromium","2025-09-27","broken","2025-09-27","","loginPractice.spec.js","",""
"","5003","Home page","chromium","2025-09-27","passed","2025-09-27","","launch.spec.js","",""
"","2301","Radio button assertion","chromium","2025-09-27","passed","2025-09-27","","UIBasicTest.spec.js","",""
"","180040","test","chromium","2025-09-27","broken","2025-09-27","","inspector.spec.js","",""
"","5675","Handle calendar dynamically","chromium","2025-09-27","passed","2025-09-27","","calendar.spec.js","",""
"","6887","Testing builtin locators","chromium","2025-09-27","passed","2025-09-27","","locators_builtin.spec.js","",""
"","6001","AssertionTest","chromium","2025-09-27","passed","2025-09-27","","assertion.spec.js","",""
"","1713","Child windown handle","chromium","2025-09-27","passed","2025-09-27","","UIBasicTest.spec.js","",""
"","6317","Browser context palywright test","chromium","2025-09-27","passed","2025-09-27","","UIBasicTest.spec.js","",""
"","2459","Place the order","chromium","2025-09-27","passed","2025-09-27","","webapi_part1.spec.js","",""
"","2679","Locating multiple webElements","chromium","2025-09-27","failed","2025-09-27","","multipleElements.spec.js","",""
"","4733","Locator","chromium","2025-09-27","passed","2025-09-27","","locator.spec.js","",""
"","15976","e2e ecommerce test","chromium","2025-09-27","passed","2025-09-27","","eComm_e2e.spec.js","",""
"","4604","Login as existing user","chromium","2025-09-27","passed","2025-09-27","","loginPractice.spec.js","",""
"","16080","e2e ecommerce e2e using GetBy","chromium","2025-09-27","passed","2025-09-27","","e2e_usingGetby.spec.js","",""
